X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-75.062942,40.029216,4425,2615831W,Bus,26,Westbound,15831,Battersby St & Harbison Av,40.029216,-75.062942,Fall 2023,9,7,8,0,7,1
-75.188522,40.017032,4426,3216532S,Bus,32,Southbound,16532,Henry Av & Midvale Av,40.017032,-75.188522,Fall 2023,94,58,18,10,14,4
-75.073486,40.019668,4427,2615806W,Bus,26,Westbound,15806,Bridge St & Charles St,40.019668,-75.073486,Fall 2023,6,0,0,0,0,0
-75.194557,40.022533,4428,3219708S,Bus,32,Southbound,19708,Henry Av & Phila University Dr,40.022533,-75.194557,Fall 2023,9,7,5,1,8,1
-75.071945,40.016994,4429,2615808W,Bus,26,Westbound,15808,Bridge St & Cottage St,40.016994,-75.071945,Fall 2023,3,0,0,0,0,0
-75.187194,40.01588,4430,3216533S,Bus,32,Southbound,16533,Henry Av & Queen Ln,40.01588,-75.187194,Fall 2023,29,16,2,5,3,1
-75.076156,40.022541,4431,2615803W,Bus,26,Westbound,15803,Bridge St & Darrah St,40.022541,-75.076156,Fall 2023,4,0,0,0,0,0
-75.207122,40.030578,4432,3216525S,Bus,32,Southbound,16525,Henry Av & Rector St,40.030578,-75.207122,Fall 2023,0,0,0,0,0,0
-75.070968,40.014396,4433,2615810W,Bus,26,Westbound,15810,Bridge St & Dittman St,40.014396,-75.070968,Fall 2023,3,2,0,0,0,0
-75.17974,40.008529,4434,3219707S,Bus,32,Southbound,19707,Henry Av & Roberts Av - MBNS,40.008529,-75.17974,Fall 2023,4,0,0,0,0,0
-75.075103,40.021549,4435,2615804W,Bus,26,Westbound,15804,Bridge St & Duffield St,40.021549,-75.075103,Fall 2023,3,0,0,0,0,0
-75.180793,40.009998,4436,3219702S,Bus,32,Southbound,19702,Henry Av & Roberts Av MBNS,40.009998,-75.180793,Fall 2023,52,31,15,4,6,3
-75.072372,40.018096,4437,2615807W,Bus,26,Westbound,15807,Bridge St & Edrick St - FS,40.018096,-75.072372,Fall 2023,1,0,0,0,0,0
-75.192596,40.020446,4438,3216530S,Bus,32,Southbound,16530,Henry Av & School House Ln,40.020446,-75.192596,Fall 2023,72,24,29,5,19,4
